rep,subj_n,b1,parameter,Estimate,Est.Error,Q2.5,Q97.5
7,150,0.87,pre_score_z,0.4563632291785,0.10243211306961499,0.25905275899999997,0.6590991827499999
7,150,1.39,Intercept,0.30821513427223624,0.5087498555917535,-0.7100270257499999,1.30995831
7,150,1.39,groupembodied,1.1061760269216374,0.23912971507596276,0.61915710425,1.5701802499999995
7,150,1.39,pre_score_z,0.3480886769785625,0.10825579802778401,0.13760627325000002,0.5628401784999999
7,200,0.15,Intercept,0.6565621545130225,0.5753325940124703,-0.49588413875,1.7719310424999992
7,200,0.15,groupembodied,-0.14819558111395786,0.23419109974355484,-0.6300722830000001,0.30699122099999965
7,200,0.15,pre_score_z,0.15487864463604775,0.09439670843887374,-0.031111035674999996,0.3402518287499999
7,200,0.4,Intercept,0.1940972078432486,0.4154510082391927,-0.61752096025,1.0242832149999999
7,200,0.4,groupembodied,0.28033766900908663,0.22280056564127598,-0.15029256275,0.7106641919999999
7,200,0.4,pre_score_z,0.21929533994558126,0.08917679077344619,0.0445143771,0.39440851974999985
7,200,0.87,Intercept,0.500949029971888,0.5828589984294144,-0.6612802324999999,1.6554558799999992
7,200,0.87,groupembodied,0.653641551228585,0.23272403708076023,0.18797002175,1.1079930274999998
7,200,0.87,pre_score_z,0.460278465964875,0.10617384539545448,0.25393432800000004,0.66937768175
7,200,1.39,Intercept,0.23237349174495,0.722032256568376,-1.2357335249999999,1.644873184999998
7,200,1.39,groupembodied,1.41018221013775,0.2843566478105384,0.8314834065,1.9580842499999997
7,200,1.39,pre_score_z,0.19701843083949624,0.10574339727363351,-0.008159040222499997,0.4045492435
8,100,0.15,Intercept,-0.9202888560291238,0.5554951717049114,-2.0164796524999997,0.20041546699999965
8,100,0.15,groupembodied,0.5529210763709701,0.31131232815601984,-0.04510339357499997,1.1538579699999996
8,100,0.15,pre_score_z,0.3914187901847675,0.14935262223984888,0.10197886450000002,0.68882416725
8,100,0.4,Intercept,0.37843711304004574,0.5975134058288194,-0.7950294445,1.575089297499999
8,100,0.4,groupembodied,1.040272933145225,0.32684451446077306,0.39454399900000003,1.687510575
8,100,0.4,pre_score_z,0.031283228632378625,0.18207160941001937,-0.33387935324999996,0.39437950774999997
8,100,0.87,Intercept,-0.44159837860321627,0.4452632929690506,-1.3200553875,0.46482598624999993
8,100,0.87,groupembodied,0.52911698923168,0.27351014546587676,-0.017347939774999988,1.0670201599999998
8,100,0.87,pre_score_z,0.23050061880167624,0.1318485299657141,-0.0298332603,0.4901369817499999
8,100,1.39,Intercept,-0.013916005279946145,0.5341761151872187,-1.0954996125,1.0551348049999996
8,100,1.39,groupembodied,1.413405000467375,0.34895916770433433,0.70792429125,2.0999343624999995
8,100,1.39,pre_score_z,0.34425403450439,0.16082329134667198,0.034241790375,0.667012082
8,150,0.15,Intercept,-0.07438346843648795,0.4358031919781081,-0.94852031475,0.7730161157499994
8,150,0.15,groupembodied,0.5481985484377563,0.2482675512502299,0.058734888375000016,1.0363229799999998
8,150,0.15,pre_score_z,0.4514124975108375,0.12099583733824283,0.21164532375,0.6865317517499998
8,150,0.4,Intercept,-1.1603604721694214,0.5840491851392364,-2.28929757,0.006483226834998632
8,150,0.4,groupembodied,0.8565667032818625,0.2621657920420427,0.348064542,1.3751546224999993
8,150,0.4,pre_score_z,0.55108628539875,0.11633928873956426,0.33358794900000005,0.78666303225
8,150,0.87,Intercept,-0.7017332243834956,0.452913458270251,-1.5741296875000002,0.1680411622499999
8,150,0.87,groupembodied,0.49482397338486,0.259757124944828,-0.017096617924999998,1.0200701549999998
8,150,0.87,pre_score_z,0.3092000061240125,0.10218353670207313,0.11183507825,0.51793634275
8,150,1.39,Intercept,-0.7829579310740262,0.6004610481764625,-2.0062304475,0.3629180424999999
8,150,1.39,groupembodied,1.6001054745425,0.24801998091882327,1.1227053325,2.0866921699999996
